# NSE के 50 शेयर — एक लाइन में एक symbol
# Format: EXCHANGE,SYMBOL    (comments # से शुरू होती हैं)
NSE,RELIANCE
NSE,TCS
NSE,HDFCBANK
NSE,INFY
NSE,ICICIBANK
NSE,HINDUNILVR
NSE,SBIN
NSE,BHARTIARTL
NSE,ITC
NSE,KOTAKBANK
NSE,LT
NSE,AXISBANK
NSE,BAJFINANCE
NSE,ASIANPAINT
NSE,HCLTECH
NSE,MARUTI
NSE,SUNPHARMA
NSE,TITAN
NSE,WIPRO
NSE,ULTRACEMCO
NSE,NESTLEIND
NSE,M&M
NSE,POWERGRID
NSE,NTPC
NSE,TATAMOTORS
NSE,TATASTEEL
NSE,JSWSTEEL
NSE,ADANIENT
NSE,ADANIPORTS
NSE,COALINDIA
NSE,ONGC
NSE,GRASIM
NSE,HINDALCO
NSE,BAJAJFINSV
NSE,DRREDDY
NSE,CIPLA
NSE,DIVISLAB
NSE,EICHERMOT
NSE,BRITANNIA
NSE,HEROMOTOCO
NSE,BAJAJ-AUTO
NSE,TECHM
NSE,INDUSINDBK
NSE,BPCL
NSE,IOC
NSE,APOLLOHOSP
NSE,SBILIFE
NSE,HDFCLIFE
NSE,LTIM
NSE,TATACONSUM
